,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
1041,2,150.0,97.0,0,2,1.0,4.8,1,0,57
1051,2,62.0,100.0,1,2,1.0,4.71,1,0,50
1054,2,78.0,100.0,1,2,1.0,4.89,1,1,50
1065,2,120.0,97.0,0,2,1.0,4.95,1,0,50
1074,2,52.0,82.0,1,2,1.0,4.74,1,0,50
1082,2,52.0,97.0,1,2,1.0,4.86,1,0,50
1084,2,71.0,56.0,1,2,1.0,4.88,1,0,49
1085,2,136.0,100.0,1,2,1.5,4.9,1,0,62
1087,2,83.0,97.0,0,1,1.0,4.08,1,0,43
1089,2,79.0,97.0,0,3,1.0,5.0,1,0,50
1093,2,80.0,0.0,0,1,1.5,5.0,1,0,50
1097,2,59.0,93.0,1,2,2.0,4.65,1,0,49
1098,2,87.0,55.0,1,3,1.0,4.74,1,0,50
1103,2,139.0,98.0,1,2,1.0,4.64,1,0,43
1105,2,71.0,100.0,1,2,2.0,4.89,1,1,50
1109,2,91.0,97.0,0,2,1.0,4.0,1,1,57
1110,2,71.0,98.0,1,1,1.0,4.87,1,0,50
1112,2,60.0,97.0,1,4,1.0,4.82,1,0,50
1115,2,70.0,0.0,0,1,1.0,5.0,1,0,62
1117,2,56.0,50.0,1,1,1.0,4.21,1,0,57
1118,2,200.0,97.0,0,1,1.0,4.77,1,1,50
1119,2,150.0,97.0,0,2,1.0,4.58,1,0,57
1123,2,150.0,97.0,0,2,1.0,4.8,1,0,50
1126,2,100.0,97.0,0,2,1.0,4.91,1,0,50
1131,2,150.0,97.0,0,2,1.0,4.21,1,0,57
1135,2,150.0,97.0,0,2,2.5,4.92,1,0,50
1138,2,42.0,88.0,1,1,0.0,4.67,1,0,57
1140,2,150.0,97.0,0,3,1.0,3.57,1,0,57
1145,2,119.0,98.0,1,2,1.5,4.98,1,0,62
1148,2,60.0,75.0,0,2,1.0,4.8,1,1,57
1151,2,80.0,100.0,1,2,1.0,4.96,1,0,50
1160,2,89.0,89.0,1,1,1.5,4.79,1,0,50
1176,2,50.0,100.0,1,2,1.5,4.54,1,0,43
1177,2,150.0,97.0,0,1,1.5,4.8,0,0,50
1178,2,150.0,97.0,0,3,1.5,5.0,1,0,50
1179,2,155.0,100.0,0,2,1.5,4.98,0,0,50
1180,2,59.0,93.0,1,2,2.0,4.45,1,0,50
1184,2,150.0,97.0,0,2,1.0,4.8,1,0,50
1190,2,150.0,97.0,0,2,1.0,4.8,1,0,57
1191,2,150.0,97.0,0,2,1.0,4.8,1,0,57
1199,2,155.0,100.0,0,2,1.5,4.75,0,0,50
1200,2,85.0,34.0,1,4,1.0,5.0,1,0,57
1203,2,138.0,93.0,1,1,1.5,4.98,1,0,62
1208,2,50.0,0.0,0,1,1.0,4.43,1,0,57
1210,2,239.0,100.0,0,1,1.0,5.0,1,0,43
1213,2,150.0,100.0,0,2,3.5,4.55,1,0,57
1214,2,150.0,100.0,1,1,3.5,4.64,1,0,50
